aboservice.welt.de	146.185.101.52
admin.checkout.co.auth.welt.de	52.222.177.8,52.222.177.107
admin.checkout.prod.ps.welt.de	52.222.177.104,52.222.177.107
admin.checkout-uat.co.auth.welt.de	52.222.177.8,52.222.177.104
admin-vergleich.qweb.computerbild.de	10.111.64.80
admin-vergleich.qweb.stage.computerbild.de	10.111.64.49
alias-apitest.sandbox.bild.design	3.74.130.26
amp.welt.de	195.244.241.14
angebote-stage.welt.de	78.46.238.246
angebote.welt.de	78.46.238.246
anysort-controller.internal.bild.design	63.186.229.70,18.185.223.128
api-vergleich.qweb.computerbild.de	10.111.64.80
api-vergleich.qweb.stage.computerbild.de	10.111.64.49
asbs.myhomebook.de	2.19.117.103,2.19.117.76
asbs.petbook.de	2.23.210.99,2.23.210.94
asbs.techbook.de	184.28.220.14,184.28.220.3
asbs.welt.de	184.28.220.28,184.28.220.11
as.computerbild.de	66.235.152.163,66.235.152.111
as.myhomebook.de	66.235.152.111,66.235.152.163
as.petbook.de	66.235.152.111,66.235.152.212
asset.myhomebook.de	2.23.210.79,2.23.210.96
asset.petbook.de	2.19.117.83,2.19.117.71
asset.stylebook.de	2.23.210.99,2.23.210.95
asset.techbook.de	184.28.220.24,184.28.220.20
as.stylebook.de	66.235.152.163,66.235.152.212
as.techbook.de	66.235.152.212,66.235.152.163
ast.myhomebook.de	52.85.47.79,52.85.47.35
ast.petbook.de	52.85.47.97,52.85.47.35
ast.stylebook.de	52.85.47.79,52.85.47.97
ast.techbook.de	52.85.47.97,52.85.47.35
ast.welt.de	52.85.47.104,52.85.47.79
as.welt.de	66.235.152.163,66.235.152.111
bild.design	198.202.211.1
blaetterkatalog.welt.de	188.40.16.234
blogstars.stylebook.de	195.244.241.14
calendar.bild.design	18.185.223.128,63.186.229.70
c.computerbild.de	92.123.128.56,92.123.128.7
checkout.co.auth.welt.de	52.222.177.8,52.222.177.104
checkout-uat.co.auth.welt.de	52.222.177.107,52.222.177.8
cmp.myhomebook.de	52.222.177.66,52.222.177.87
cmp.petbook.de	52.222.177.8,52.222.177.54
cmp.stylebook.de	52.222.177.66,52.222.177.54
cmp.techbook.de	52.222.177.54,52.222.177.87
computerbild.de	76.223.57.215,13.248.163.210
configurator-vergleich.qweb.computerbild.de	10.111.64.80
configurator-vergleich.qweb.stage.computerbild.de	10.111.64.49
consent.up.welt.de	52.222.177.66,52.222.177.87
consumer-api.prod.auth.computerbild.de	104.18.29.201,104.18.28.201
countdown-backend.internal.bild.design	18.185.223.128,63.186.229.70
cyber.computerbild.de	76.223.57.215,13.248.163.210
data-19e0ce8844.computerbild.de	136.110.231.186
data-2af9963ee4.computerbild.de	136.110.231.186
data-50c00d5d12.techbook.de	136.110.231.186
data-7a534833b2.techbook.de	136.110.231.186
data-861bbf2127.myhomebook.de	136.110.231.186
data-861bbf2127.petbook.de	136.110.231.186
data-861bbf2127.stylebook.de	136.110.231.186
data-861bbf2127.techbook.de	136.110.231.186
data-8a60c76189.myhomebook.de	136.110.231.186
data-99329e3cb2.welt.de	136.110.231.186
data-a379a2e240.petbook.de	136.110.231.186
data-ade1ea328b.stylebook.de	136.110.231.186
data-bb21a2f11b.myhomebook.de	136.110.231.186
data-bb21a2f11b.petbook.de	136.110.231.186
data-bb21a2f11b.stylebook.de	136.110.231.186
data-bb21a2f11b.techbook.de	136.110.231.186
data-d1cd281a03.myhomebook.de	136.110.231.186
data-e4997adf31.welt.de	136.110.231.186
data-e723f0d7d1.stylebook.de	136.110.231.186
data-fee2664334.petbook.de	136.110.231.186
d.computerbild.de	92.123.128.7,92.123.128.56
debatten.welt.de	76.223.57.215,13.248.163.210
demolambdafunction.internal.bild.design	18.185.223.128,63.186.229.70
design.welt.de	63.33.17.94,52.51.23.169
dev1.epaper.welt.de	217.89.46.122
dev1.shop.welt.de	217.89.46.122
dev2.epaper.welt.de	217.89.46.122
dev2.shop.welt.de	217.89.46.122
dev3.epaper.welt.de	217.89.46.122
dev3.shop.welt.de	217.89.46.122
dev4.epaper.welt.de	217.89.46.122
dev4.shop.welt.de	217.89.46.122
dev5.epaper.welt.de	217.89.46.122
dev5.shop.welt.de	217.89.46.122
dev-checkout.co.welt.de	145.243.234.10
digasred.computerbild.de	95.100.104.24,95.100.104.11
digasred.stage.computerbild.de	95.100.104.9,95.100.104.16
dsl-speedtest.computerbild.de	52.29.79.39
dsl-start.computerbild.de	63.188.80.152,63.188.228.35
dsl-start-olga.computerbild.de	63.188.228.35,63.188.80.152
dsl-start-test.computerbild.de	63.188.80.152,3.126.233.208
dutyfarm.welt.de	5.9.124.233
edition-issues-devel.ep.welt.de	2.19.117.132,2.19.117.152
edition-issues-production.ep.welt.de	2.23.210.89,2.23.210.96
edition.welt.de	13.248.163.210,76.223.57.215
electioncontroller.internal.bild.design	18.185.223.128,63.186.229.70
electioncontroller.internal.staging.bild.design	18.185.223.128,63.186.229.70
electiondata.internal.bild.design	18.185.223.128,63.186.229.70
electiondata.internal.staging.bild.design	63.186.229.70,18.185.223.128
embed.stylebook.de	2.22.144.156,2.22.144.166
epaper.vip-club.computerbild.de	188.40.16.234
epaper.welt.de	188.40.16.234
epitools-alb-git-webhook.bild.design	63.186.229.70,18.185.223.128
epitools-ticket-tmp.bild.design	18.185.223.128,63.186.229.70
event.computerbild.de	18.165.201.75,18.165.201.34
event.welt.de	216.137.44.100,216.137.44.29
gutscheine.welt.de	13.226.144.85,13.226.144.42
hey.bild.de	18.245.218.27,18.245.218.68
horoskopcheck.bild.design	63.186.229.70,18.185.223.128
iconist.welt.de	54.217.222.253
images.welt.de	2.22.144.168,2.22.144.150
img.welt.de	2.19.117.81,2.19.117.75
infomail.computerbild.de	76.223.57.215,13.248.163.210
investigativ.welt.de	195.244.241.14
jobs.welt.de	76.223.57.215,13.248.163.210
kuendigung.welt.de	195.244.241.14
leserservice.welt.de	195.244.241.14
link.email.welt.de	217.175.192.51
link.mailer.myhomebook.de	104.18.36.254,172.64.151.2
link.mailer.petbook.de	104.18.36.254,172.64.151.2
link.mailer.stylebook.de	172.64.151.2,104.18.36.254
link.mailer.techbook.de	172.64.151.2,104.18.36.254
link.newsletters.computerbild.de	217.175.192.51
link.newsletter.welt.de	172.64.151.2,104.18.36.254
