/                                                              | HTTP/1.1 302 Moved Temporarily | loc=/dana-na/auth/url_pILuuvz3DlTY4iVo/welcome.cgi | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/old                                                           | HTTP/1.1 302 Moved Temporarily | loc=/dana-na/auth/url_default/welcome.cgi          | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/adfs                                                          | HTTP/1.1 302 Moved Temporarily | loc=/dana-na/auth/url_4oTd2p4a0itcgdvM/welcome.cgi | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/fas                                                           | HTTP/1.1 302 Moved Temporarily | loc=/dana-na/auth/url_ZngUmyh877yGwQwK/welcome.cgi | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/dana-na/auth/url_default/welcome.cgi                          | HTTP/1.1 302 Moved Temporarily | loc=/dana-na/auth/url_default/login.cgi?realm=Soft%20Token%20%28adfs%29 | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/dana-na/auth/url_default/welcome.cgi?p=failed                 | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 9573 | 101f23f990fc8ce1
/dana-na/auth/url_admin/welcome.cgi                            | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 3432 | e8b16dc13117d84d
/dana-na/auth/url_pILuuvz3DlTY4iVo/welcome.cgi                 | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 11164 | 0337f6e699379a71
/dana-na/css/signin.css                                        | HTTP/1.1 200 OK          | loc=                                               | LM=Friday, 25-Sep-2026 22:41:48 GMT | text/css  25572 | 572dc1cc80b3ba83
/dana-na/css/eup_signin.css                                    | HTTP/1.1 200 OK          | loc=                                               | LM=Friday, 25-Sep-2026 22:41:49 GMT | text/css  7383 | c8d88da63a19644e
/dana-na/css/bootstrap-3.4.1.min.css                           | HTTP/1.1 404 Not Found   | loc=                                               | LM=                              | text/html; charset=utf-8 3351 | c8d328491e14dcf5
/dana-na/imgs/eup_bg.png                                       | HTTP/1.1 200 OK          | loc=                                               | LM=Friday, 25-Sep-2026 22:41:49 GMT | image/png 2385551 | c5bc0a2b541d6944
/dana-na/auth/saml-endpoint.cgi?p=sp5                          | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 27 Aug 2025 12:04:32 GMT | application/samlmetadata+xml 1112 | 65ce86d0f27f63ce
/dana-na/auth/saml-consumer.cgi                                | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 2273 | 5a9924577b889715
/dana-ws/                                                      | HTTP/1.1 302 Moved Temporarily | loc=https://extranet-2.uzleuven.be/dana-na/auth/welcome.cgi | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/dana-na/                                                      | HTTP/1.1 400 Bad Request | loc=                                               | LM=                              | text/html; charset=utf-8 3345 | 2f49147644315455
/dana-na/auth/welcome.cgi                                      | HTTP/1.1 302 Moved Temporarily | loc=https://extranet-2.uzleuven.be/                | LM=                              | text/html; charset=utf-8 1 | 36a9e7f1c95b82ff
/dana-na/auth/url_default/welcome.cgi?p=logo                   | HTTP/1.1 200 OK          | loc=                                               | LM=                              | image/png; charset=ISO-8859-1 20593 | 8195e53400184243
