/                                                              | HTTP/1.1 302 Found       | loc=/dana-na/auth/url_pILuuvz3DlTY4iVo/welcome.cgi | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/old                                                           | HTTP/1.1 302 Found       | loc=/dana-na/auth/url_default/welcome.cgi          | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/adfs                                                          | HTTP/1.1 302 Found       | loc=/dana-na/auth/url_4oTd2p4a0itcgdvM/welcome.cgi | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/fas                                                           | HTTP/1.1 302 Found       | loc=/dana-na/auth/url_ZngUmyh877yGwQwK/welcome.cgi | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/dana-na/auth/url_default/welcome.cgi                          | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 8150 | f0f588f7f44d0eda
/dana-na/auth/url_default/welcome.cgi?p=failed                 | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 8828 | b7718932fda52f92
/dana-na/auth/url_admin/welcome.cgi                            | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 3238 | 2b37c62c51fcb622
/dana-na/auth/url_pILuuvz3DlTY4iVo/welcome.cgi                 | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 1305 | 6bdb7a2fd70bf80b
/dana-na/css/signin.css                                        | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 07 Jan 2026 18:38:58 GMT | text/css  25572 | 572dc1cc80b3ba83
/dana-na/css/eup_signin.css                                    | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 07 Jan 2026 18:38:57 GMT | text/css  7383 | c8d88da63a19644e
/dana-na/css/bootstrap-3.4.1.min.css                           | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 07 Jan 2026 18:38:53 GMT | text/css  121457 | 6d92dfc1700fd38c
/dana-na/imgs/eup_bg.png                                       | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 07 Jan 2026 18:38:01 GMT | image/png 2385551 | c5bc0a2b541d6944
/dana-na/auth/saml-endpoint.cgi?p=sp5                          | HTTP/1.1 200 OK          | loc=                                               | LM=Wed, 27 Aug 2025 12:04:32 GMT | application/samlmetadata+xml 186 | 34072786f533883e
/dana-na/auth/saml-consumer.cgi                                | HTTP/1.1 200 OK          | loc=                                               | LM=                              | text/html; charset=utf-8 2268 | 357f282a077e1cbb
/dana-ws/                                                      | HTTP/1.1 302 Found       | loc=https://extranet.uzleuven.be/dana-na/auth/welcome.cgi | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/dana-na/                                                      | HTTP/1.1 400 Invalid Path | loc=                                               | LM=                              | text/html; charset=utf-8 3340 | e1969d7a507b4e24
/dana-na/auth/welcome.cgi                                      | HTTP/1.1 302 Found       | loc=https://extranet.uzleuven.be/                  | LM=                              | text/html; charset=utf-8 0 | e3b0c44298fc1c14
/dana-na/auth/url_default/welcome.cgi?p=logo                   | HTTP/1.1 200 OK          | loc=                                               | LM=                              | image/png 20593 | 8195e53400184243
